,cg1,cg2,cg3,cg4,cg5,cl1,cl2,cl3,cw1,cw2,cw3,sg2,sg3,sg4,sg5,sg6,sl1,sl2,sl3,sw1,sw2,sw3
WBGene00077707,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
WBGene00077708,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
WBGene00077709,0,0,0,0,1,0,0,1,0,1,2,0,6,0,2,0,3,0,5,0,1,0
WBGene00077712,261,261,179,154,251,272,256,143,212,214,97,0,1359,771,111,179,339,24,4,537,162,950
WBGene00077714,129,131,116,132,204,182,164,129,168,386,86,0,1439,190,69,122,229,56,112,255,94,1
WBGene00077715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
WBGene00077718,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,1,12,0,18,1,0
WBGene00077719,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,5,0
WBGene00077720,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0
WBGene00077724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
